theta,theta_dot,torque,label1,label2
4.54672,4.3417,-0.918691,4.3417,-10.6378
5.28616,-4.88541,-0.493873,-4.88541,-8.68406
6.22279,-2.84853,0.0875689,-2.84853,-0.476087
2.56423,-2.28563,-0.775907,-2.28563,4.60137
1.10304,-4.39268,0.979312,-4.39268,9.77946
1.48661,1.19226,0.200102,1.19226,9.96344
2.61697,-3.26886,-0.7184,-3.26886,4.22801
5.94588,-4.06317,0.335678,-4.06317,-2.87027
4.08689,-3.16566,-0.58901,-3.16566,-8.51002
1.81956,3.70416,-0.855445,3.70416,8.61555
3.48863,1.05967,0.751535,1.05967,-2.59555
2.31028,-0.0047688,0.885268,-0.0047688,8.1331
4.06576,-3.02519,-0.17777,-3.02519,-7.97708
2.23049,-4.59243,0.105816,-4.59243,7.90343
0.964745,-1.90546,-0.367481,-1.90546,7.71445
1.38375,1.49485,-0.913011,1.49485,8.71093
6.21187,2.69392,0.673289,2.69392,-0.0526322
1.4568,4.94461,-0.514822,4.94461,9.18206
3.41319,1.35124,0.872603,1.35124,-1.77261
2.93022,4.67826,-0.859733,4.67826,1.15165
6.18129,3.08576,0.922596,3.08576,-0.106129
3.00024,4.42214,-0.693634,4.42214,0.644181
0.773241,2.3586,0.184401,2.3586,7.01269
1.78462,1.02688,-0.0170972,1.02688,9.55923
2.85872,4.92967,0.885532,4.92967,3.57439
4.18628,2.0735,0.418244,2.0735,-8.08588
4.46641,0.271243,-0.0274703,0.271243,-9.54489
3.45323,-0.251074,-0.274552,-0.251074,-3.27996
3.26955,3.25873,0.123748,3.25873,-1.16068
0.4845,0.00825816,-0.545257,0.00825816,4.02382
1.23592,-2.05583,0.648502,-2.05583,9.93412
2.22681,4.37426,-0.951069,4.37426,6.77894
2.64409,2.28408,0.471193,2.28408,5.12999
4.12014,1.79908,0.915586,1.79908,-7.24161
1.22776,-2.74819,0.634252,-2.74819,9.90019
0.481385,2.43325,-0.275122,2.43325,4.24265
0.32289,1.15535,-0.120924,1.15535,2.98032
2.82483,-2.38511,-0.483594,-2.38511,2.59595
1.70638,-2.43914,-0.501311,-2.43914,9.24305
1.62798,-4.59609,-0.493191,-4.59609,9.34673
3.38595,2.68864,0.509368,2.68864,-1.89084
2.74437,4.50009,0.664099,4.50009,4.41421
2.52884,-0.836951,-0.0578561,-0.836951,5.59249
6.26494,-3.98862,-0.654053,-3.98862,-0.793183
4.58451,0.405047,-0.0489495,0.405047,-9.7829
5.15971,-4.71172,-0.980216,-4.71172,-9.77789
4.76501,-3.29123,-0.830908,-3.29123,-10.5944
5.34572,-2.703,0.219268,-2.703,-7.66116
4.7036,3.65684,-0.289729,3.65684,-10.1359
5.76124,2.79242,0.337431,2.79242,-4.58147
3.12072,-4.8844,0.965355,-4.8844,1.21894
2.45397,0.931802,0.315843,0.931802,6.53295
1.42046,2.05091,0.742891,2.05091,10.4217
0.191753,4.27241,-0.335124,4.27241,1.49174
2.85896,3.69815,-0.399393,3.69815,2.29948
3.70312,-4.48554,-0.435972,-4.48554,-5.61471
5.84105,1.19704,0.0586061,1.19704,-4.15076
2.56645,-1.95669,0.0261637,-1.95669,5.3819
3.47193,0.941472,0.370872,0.941472,-2.82056
3.48996,4.75812,0.929718,4.75812,-2.46663
2.59511,-3.19977,0.669128,-3.19977,5.7992
5.33357,4.07506,-0.708157,4.07506,-8.72632
0.716791,3.74611,-0.739718,3.74611,5.66768
0.276311,-0.115332,-0.521553,-0.115332,2.15585
3.67554,-3.08464,-0.787021,-3.08464,-5.74884
4.32944,-2.40081,-0.905809,-2.40081,-9.98123
3.7023,3.55404,-0.337163,3.55404,-5.58952
1.68874,4.42868,0.896705,4.42868,10.5943
5.8702,2.07444,0.453409,2.07444,-3.50451
4.24659,0.396057,-0.0354833,0.396057,-8.80429
3.82463,3.72434,0.21408,3.72434,-6.01475
0.386667,-0.677773,-0.806535,-0.677773,2.89963
0.0448884,2.86591,0.508423,2.86591,0.919971
3.51314,-0.0956299,-0.933323,-0.0956299,-4.49395
3.48093,1.89218,-0.30357,1.89218,-3.58786
5.38349,3.56322,-0.398873,3.56322,-8.11706
3.17098,4.26986,-0.279654,4.26986,-0.610623
2.96271,2.44342,0.874039,2.44342,2.59506
3.86369,0.271802,-0.0123877,0.271802,-6.49911
2.41016,-2.61677,-0.405712,-2.61677,6.17295
1.0531,-1.86732,-0.0828614,-1.86732,8.46032
0.216159,-1.2714,-0.628775,-1.2714,1.48799
4.05559,-4.60959,0.184745,-4.60959,-7.53817
5.77706,-3.79847,-0.679704,-3.79847,-5.39756
3.36183,-3.96637,0.985003,-3.96637,-1.11845
2.28737,-1.35317,0.905205,-1.35317,8.31608
1.85996,2.44537,-0.737694,2.44537,8.64056
2.34568,2.30015,0.791651,2.30015,7.77789
5.24961,4.12452,-0.9472,4.12452,-9.41655
1.17648,3.26208,-0.750059,3.26208,8.27449
2.39309,-3.55873,-0.0709506,-3.55873,6.64074
1.17094,1.87507,-0.283545,1.87507,8.73388
0.875875,-4.06294,0.9448,-4.06294,8.52053
0.00123266,2.12902,-0.752556,2.12902,-0.761754
2.38053,-3.06368,0.0351061,-3.06368,6.83158
4.19774,3.05427,0.287034,3.05427,-8.28277
4.34344,-3.91175,-0.668519,-3.91175,-9.77927
0.181453,-3.96112,-0.804747,-3.96112,1.00516
3.25524,-3.95271,-0.189938,-3.95271,-1.26291
4.56055,3.46589,0.39449,3.46589,-9.3373
3.32377,-0.495711,-0.742924,-0.495711,-2.51521
5.50569,3.94752,0.410147,3.94752,-6.51102
2.54393,-3.26746,-0.558876,-3.26746,4.99396
1.7343,4.44419,-0.326072,4.44419,9.30865
1.24568,1.45406,0.91413,1.45406,10.1957
1.32388,1.85069,-0.357582,1.85069,9.13638
0.137518,-2.81308,-0.0379856,-2.81308,1.33495
4.45596,4.47473,-0.715191,4.47473,-10.2492
5.61647,-0.230875,-0.451501,-0.230875,-6.51578
1.47305,2.88417,0.520545,2.88417,10.2549
2.25917,-1.74411,-0.844964,-1.74411,6.74858
3.8116,2.25129,0.998651,2.25129,-5.11579
4.11382,1.725,0.546931,1.725,-7.5748
5.72241,1.25023,0.341498,1.25023,-4.88837
5.03819,2.431,-0.858523,2.431,-10.1768
2.79588,4.68535,-0.750173,4.68535,2.52729
3.24173,0.443628,-0.690625,0.443628,-1.67577
1.30351,3.50186,-0.374245,3.50186,9.05238
3.29545,-1.12608,0.952714,-1.12608,-0.539385
0.941983,-2.86995,-0.692944,-2.86995,7.26936
1.43203,-1.28061,0.415887,-1.28061,10.1444
2.49756,-3.49913,-0.357318,-3.49913,5.56781
4.7332,-4.86801,0.908718,-4.86801,-8.85048
5.9136,4.84671,-0.710108,4.84671,-4.30224
3.87568,-1.3445,-0.641747,-1.3445,-7.20014
5.51789,-0.0866934,-0.116094,-0.0866934,-6.91109
1.56081,3.52804,0.639227,3.52804,10.4135
1.77565,2.1309,0.704986,2.1309,10.2886
4.34909,-3.66548,-0.83204,-3.66548,-9.96507
1.76059,-4.56247,-0.343986,-4.56247,9.33548
0.701147,-4.60853,0.752376,-4.60853,7.12684
1.49227,1.43528,0.767633,1.43528,10.5331
2.69571,0.867485,0.809991,0.867485,5.03196
1.85525,-2.10363,0.942043,-2.10363,10.3789
3.03865,-1.25186,0.385802,-1.25186,1.40639
4.30637,-4.17255,-0.0578816,-4.17255,-9.0286
5.62336,-3.67321,0.707361,-3.67321,-5.26921
0.561046,0.590168,0.494996,0.590168,5.70872
5.63109,-2.52409,0.536544,-2.52409,-5.39142
2.71112,1.15347,0.929308,1.15347,5.01148
4.85455,-2.95039,-0.255339,-2.95039,-9.93688
5.51147,-3.96185,-0.0611742,-3.96185,-6.8627
4.84689,-3.8825,0.217403,-3.8825,-9.46517
0.079718,-3.18268,-0.235365,-3.18268,0.577668
1.86678,-0.266495,-0.473768,-0.266495,8.91232
2.7872,-4.82948,-0.186142,-4.82948,3.2664
1.25792,-2.21294,0.660357,-2.21294,10.0162
4.33973,-1.87689,-0.199287,-1.87689,-9.31719
2.98394,0.637821,0.819553,0.637821,2.35337
5.45883,-4.4433,-0.1621,-4.4433,-7.31928
1.84986,-2.55629,-0.222344,-2.55629,9.23371
6.26876,-0.47206,0.643009,-0.47206,0.50625
0.82008,3.69333,-0.412809,3.69333,6.72333
3.74079,0.966187,-0.910315,0.966187,-6.45259
1.93014,-0.892348,0.193372,-0.892348,9.38571
3.84972,1.32316,0.39588,1.32316,-5.99788
5.92703,4.81686,-0.480721,4.81686,-3.94937
3.31845,1.31127,0.589846,1.31127,-1.14916
5.38015,-4.25717,0.518946,-4.25717,-7.14136
2.91084,-4.96447,-0.870382,-4.96447,1.42291
2.8842,-1.50201,-0.139671,-1.50201,2.37259
3.19034,4.10491,0.0480941,4.10491,-0.470948
0.181826,-0.253534,-0.557236,-0.253534,1.2192
4.75728,0.0180642,0.634917,0.0180642,-9.16538
2.97274,-2.13927,-0.920256,-2.13927,0.749724
3.60265,1.26745,0.295411,1.26745,-4.08173
4.25174,3.76925,0.850698,3.76925,-7.97445
5.01861,-1.41704,-0.885084,-1.41704,-10.2245
3.25962,1.91398,-0.985544,1.91398,-2.15988
1.76435,-0.785813,0.075699,-0.785813,9.71037
5.39912,0.00619855,0.249125,0.00619855,-7.33721
0.399495,1.89392,0.488134,1.89392,4.28482
0.709077,1.84626,-0.0317766,1.84626,6.33738
1.74352,3.74133,-0.264345,3.74133,9.36227
4.38988,0.856471,-0.882341,0.856471,-10.1951
2.65971,-4.00084,-0.593316,-4.00084,3.99312
4.32015,-1.54492,-0.673743,-1.54492,-9.72329
1.93122,4.1728,0.894976,4.1728,10.0329
4.34127,1.06842,0.851747,1.06842,-8.30109
