x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
0.253397,0.181602,0.00526314,0.0722211,7.70067,0.00526314,0.0722211,7.84937,-18.9841
1.51771,-0.0945427,0.0369483,0.377345,-2.1049,0.0369483,0.377345,-2.19581,6.22417
0.73053,0.00286115,-0.201605,0.717936,-4.94236,-0.201605,0.717936,-4.93947,9.82277
-2.31268,-0.0306009,-0.70115,-0.973872,9.84386,-0.70115,-0.973872,9.81149,-19.0135
-1.90685,0.175999,-0.768562,-0.319316,-0.435953,-0.768562,-0.319316,-0.265136,-2.91322
-0.330254,-0.0885681,0.880396,-0.345496,4.61131,0.880396,-0.345496,4.52082,-7.27076
1.03189,-0.0189713,-0.65734,0.998009,-9.37683,-0.65734,0.998009,-9.39604,19.1609
1.84475,-0.0165614,-0.809133,0.83605,-0.0691821,-0.809133,0.83605,-0.0860023,0.4969
-1.07572,-0.126216,0.565531,0.990818,-8.10814,0.565531,0.990818,-8.22379,18.7865
-0.603545,-0.147749,0.480546,-0.538079,-7.8585,0.480546,-0.538079,-7.98617,18.6866
-0.416795,0.0154212,0.653532,0.424587,-6.17825,0.653532,0.424587,-6.16284,12.0217
2.2668,-0.177527,-0.0024663,0.306656,-8.98161,-0.0024663,0.306656,-9.1245,21.427
-0.714829,-0.088167,-0.0174967,-0.299324,6.79418,-0.0174967,-0.299324,6.70255,-11.6254
-0.535912,-0.183107,-0.893704,-0.229382,-4.78785,-0.893704,-0.229382,-4.94756,13.3022
-1.91039,-0.0503856,0.776685,0.0141532,-9.35192,0.776685,0.0141532,-9.39888,19.7621
-0.574376,0.180218,-0.169473,0.585318,-3.17323,-0.169473,0.585318,-2.98757,2.36161
-2.17565,0.0243479,-0.700171,-0.222803,0.300788,-0.700171,-0.222803,0.324705,-1.12688
-2.04678,0.109195,0.762907,-0.610695,9.85763,0.762907,-0.610695,9.95411,-21.9278
1.6737,-0.064451,-0.142705,-0.987793,-1.18853,-0.142705,-0.987793,-1.25421,3.76686
-2.15288,0.123518,-0.40134,0.794464,2.6019,-0.40134,0.794464,2.7216,-7.81899
2.10871,0.158252,-0.217953,0.757539,-9.49607,-0.217953,0.757539,-9.31575,15.3067
-0.140387,0.177443,0.333189,-0.142513,0.875703,0.333189,-0.142513,1.04307,-5.51659
-1.06694,0.129762,0.349891,0.773767,-9.4256,0.349891,0.773767,-9.28031,15.8658
0.410183,-0.0620543,-0.587872,0.469152,-3.89386,-0.587872,0.469152,-3.95375,9.109
1.0874,-0.0887622,-0.0367398,0.256199,-4.56204,-0.0367398,0.256199,-4.6453,10.9933
-0.039103,0.0559983,-0.16685,-0.0190543,4.51752,-0.16685,-0.0190543,4.57091,-10.2256
0.0933093,-0.130544,0.457633,-0.332303,-1.46911,0.457633,-0.332303,-1.59374,5.71437
-1.81876,0.0306276,-0.319763,0.669187,5.49943,-0.319763,0.669187,5.52962,-11.6549
2.38889,-0.109526,0.760136,0.61636,4.04689,0.760136,0.61636,3.93353,-5.67531
-2.30609,0.00882356,0.859871,0.607476,-1.97922,0.859871,0.607476,-1.97039,3.7675
0.253929,-0.0441847,-0.928487,-0.293721,9.28785,-0.928487,-0.293721,9.24257,-17.6005
-1.73033,-0.0861302,0.774955,0.0229795,2.22167,0.774955,0.0229795,2.13601,-2.5684
0.184078,-0.132733,0.249994,0.743691,-8.47438,0.249994,0.743691,-8.59168,19.6288
-1.26972,-0.022228,-0.0783131,0.983342,6.54757,-0.0783131,0.983342,6.52437,-12.6094
0.801836,0.0874933,0.643354,-0.534247,9.36625,0.643354,-0.534247,9.44568,-20.5335
-2.16343,0.141035,0.499382,-0.799529,-5.30447,0.499382,-0.799529,-5.15327,7.44625
-1.07382,-0.0103707,0.315087,0.305617,1.80161,0.315087,0.305617,1.79137,-3.37908
