x,y,s,heading,curvature,v_ref
1.070384,1.351002,15.517046,2.684966,1.015059,0.000000
1.038090,1.366867,15.553026,2.721496,1.015059,0.000000
1.005238,1.381541,15.589007,2.758026,1.015059,0.000000
0.971872,1.395006,15.624987,2.794556,1.015059,0.000000
0.938037,1.407243,15.660967,2.831086,1.015059,0.000000
0.903778,1.418237,15.696947,2.867617,1.015059,0.000000
0.869139,1.427971,15.732927,2.904147,1.015059,0.000000
0.834169,1.436435,15.768908,2.940677,1.015059,0.000000
0.798912,1.443615,15.804888,2.977207,1.015059,0.000000
0.763417,1.449503,15.840868,3.013737,1.015059,0.000000
0.727731,1.454091,15.876848,3.050267,1.015059,0.000000
0.691900,1.457372,15.912828,3.086797,1.015059,0.000000
0.655974,1.459343,15.948808,3.123328,1.015059,0.000000
0.620000,1.460000,15.984789,3.141593,0.512851,0.000000
0.583649,1.460000,16.021140,3.141593,0.000000,0.000000
